"Name","IPAddress","Status","ErrorMessage"
"bancentral.gov.do","13.107.246.57,13.107.213.57","OK",""
"pbx.bancentral.gov.do","13.107.213.57,13.107.246.57","OK",""
"161.bancentral.gov.do","13.107.213.57,13.107.246.57","OK",""
"1www.bancentral.gov.do","13.107.246.57,13.107.213.57","OK",""
"252fwww.bancentral.gov.do","13.107.246.57,13.107.213.57","OK",""
"275www.bancentral.gov.do","13.107.213.57,13.107.246.57","OK",""
"2fcdn.bancentral.gov.do","13.107.246.57,13.107.213.57","OK",""
"2fwww.bancentral.gov.do","13.107.213.57,13.107.246.57","OK",""
"3www.bancentral.gov.do","13.107.246.57,13.107.213.57","OK",""
"amf.gov.do","","OK",""
"api.arsbancocentral.org.do","13.107.246.57,13.107.213.57","OK",""
"api.bancentral.gov.do","13.107.246.57,13.107.213.57","OK",""
"api2.arsbancocentral.org.do","192.124.249.39","OK",""
"apibcrd.bancentral.gov.do","13.107.246.57,13.107.213.57","OK",""
"apidev.arsbancocentral.org.do","13.107.213.57,13.107.246.57","OK",""
"app.bancentral.gov.do","13.107.213.57,13.107.246.57","OK",""
"app1.bancentral.gov.do","13.107.213.57,13.107.246.57","OK",""
"app101.bancentral.gov.do","13.107.246.57,13.107.213.57","OK",""
"arsbancocentral.org.do","192.124.249.39","OK",""
"autodiscover.bancentral.gov.do","52.96.57.104,40.97.212.24,52.96.121.232,52.96.90.24","OK",""
"bancentral.gov.do","13.107.213.57,13.107.246.57","OK",""
"www.bancentral.gov.do","13.107.246.57,13.107.213.57","OK",""
"bccom-des.bancentral.gov.do","13.107.213.57,13.107.246.57","OK",""
"bccom-qa.bancentral.gov.do","13.107.246.57,13.107.213.57","OK",""
"cdn.bancentral.gov.do","13.107.246.57,13.107.213.57","OK",""
"dominicanawww.bancentral.gov.do","13.107.246.57,13.107.213.57","OK",""
"elearning.bancentral.gov.do","13.107.246.57,13.107.213.57","OK",""
"enterpriseenrerpvergleichlment.bancentral.gov.do","13.107.246.57,13.107.213.57","OK",""
"gdc.bancentral.gov.do","13.107.246.57,13.107.213.57","OK",""
"hec.amf.gov.do","13.107.246.57,13.107.213.57","OK",""
"hubifrd.gob.do","192.124.249.63","OK",""
"ivww.bancentral.gov.do","13.107.246.57,13.107.213.57","OK",""
"iwww.bancentral.gov.do","13.107.246.57,13.107.213.57","OK",""
"jwww.bancentral.gov.do","13.107.213.57,13.107.246.57","OK",""
"licawww.bancentral.gov.do","13.107.246.57,13.107.213.57","OK",""
"mail2.bancentral.gov.do","200.88.48.242","OK",""
"micas.bancentral.gov.do","13.107.213.57,13.107.246.57","OK",""
"mx0.bancentral.gov.do","13.107.213.57,13.107.246.57","OK",""
"mysql.bancentral.gov.do","13.107.246.57,13.107.213.57","OK",""
"ov.arsbancocentral.org.do","13.107.246.57,13.107.213.57","OK",""
"ovdev.arsbancocentral.org.do","13.107.213.57,13.107.246.57","OK",""
"p.bancentral.gov.do","13.107.246.57,13.107.213.57","OK",""
"pamf-dev.amf.gov.do","13.107.213.57,13.107.246.57","OK",""
"pamf-dt-api.amf.gov.do","13.107.246.57,13.107.213.57","OK",""
"pamf-qa.amf.gov.do","13.107.213.57,13.107.246.57","OK",""
"pamf-qab2c.amf.gov.do","13.107.213.57,13.107.246.57","OK",""
"pamf-test.amf.gov.do","13.107.213.57,13.107.246.57","OK",""
"pamf-ts.amf.gov.do","13.107.246.57,13.107.213.57","OK",""
"pamf.amf.gov.do","13.107.246.57,13.107.213.57","OK",""
"paralelo.amf.gov.do","13.107.246.57,13.107.213.57","OK",""
"pmosuite.bancentral.gov.do","192.124.249.59","OK",""
"produccion.amf.gov.do","13.107.213.57,13.107.246.57","OK",""
"recapitalizacion.pdfwww.bancentral.gov.do","13.107.246.57,13.107.213.57","OK",""
"scce.bancentral.gov.do","","OK",""
"signed.bancentral.gov.do","13.107.246.57,13.107.213.57","OK",""
"srv.bancentral.gov.do","13.107.246.57,13.107.213.57","OK",""
"subportal.bancentral.gov.do","13.107.213.57,13.107.246.57","OK",""
"ts.amf.gov.do","13.107.213.57,13.107.246.57","OK",""
"tsprod.amf.gov.do","13.107.213.57,13.107.246.57","OK",""
"turismowww.bancentral.gov.do","13.107.213.57,13.107.246.57","OK",""
"w.bancentral.gov.do","13.107.213.57,13.107.246.57","OK",""
"w1.bancentral.gov.do","13.107.213.57,13.107.246.57","OK",""
"webmail.bancentral.gov.do","20.190.155.131,20.190.155.67,40.126.27.128,20.190.155.65,20.190.155.130,20.190.155.16,20.190.155.1,20.190.155.3","OK",""
"wiki.bancentral.gov.do","13.107.246.57,13.107.213.57","OK",""
"wpdev.arsbancocentral.org.do","13.107.213.57,13.107.246.57","OK",""
"ww.bancentral.gov.do","13.107.246.57,13.107.213.57","OK",""
"www.arsbancocentral.org.do","192.124.249.39","OK",""
"www.bancentral.gov.do","13.107.213.57,13.107.246.57","OK",""
"www.eneef.do","162.159.135.42","OK",""
"www.gdc.bancentral.gov.do","","NOT_OK","www.gdc.bancentral.gov.do : El nombre DNS no existe"
"www.hubifrd.gob.do","192.124.249.63","OK",""
"www.pmosuite.bancentral.gov.do","","NOT_OK","www.pmosuite.bancentral.gov.do : El nombre DNS no existe"
"www.subportal.bancentral.gov.do","","NOT_OK","www.subportal.bancentral.gov.do : El nombre DNS no existe"
