Hostname,IPv4
A10-JUR-AEC,10.10.12.5
A10-JUR-ASR,10.10.12.1
A10-JUR-ARG,10.10.12.20
A10-JUR-AGM,10.10.12.17
A10-JUR-AVJG,10.10.12.33
A10-CAD-BEAC,10.10.12.24
A10-JUR-CFRP,10.10.11.11
A10-JUR-CNL,10.10.11.15
A10-JUR-CJDO,10.10.11.126
A10-JUR-CFIT,10.10.11.16
A10-JUR-CPCJ,10.10.12.2
A10-JUR-DLC,10.10.12.4
A10-JUR-DPR,10.10.11.14
A10-JUR-DKMS,10.10.11.19
A10-JUR-EPBM,10.10.12.30
A10-JUR-EHM,10.10.12.31
A10-DAP-FPO,10.10.12.26
A10-JUR-FEGR,10.10.11.20
A10-JUR-FYRC,10.10.11.5
A10-JUR-GPQ,10.10.11.12
C10-JUR-SS15,10.10.12.43
C10-JUR-SS14,10.10.156.54
A10-JUR-GMMV,10.10.11.1
A10-CRE-HML,10.10.12.21
A10-JUR-HSG,10.10.12.9
A10-JUR-ILSR,10.10.12.11
A10-JUR-JGL,10.10.12.36
A10-CGT-JMBA,10.10.12.27
A10-JUR-JAAV,10.10.12.37
A10-JUR-JARV,10.10.12.7
A10-CRI-JAMH,10.10.12.34
A10-JUR-JMH,10.10.11.21
A10-JUR-KCRS,10.10.12.126
A10-CRI-LJBD,10.10.12.19
A10-JUR-LRSP,10.10.12.14
A10-JUR-MYCB,10.10.11.10
A10-JUR-MACA,10.10.12.16
A10-JUR-MARR,10.10.52.18
A10-CRI-NAMA,10.10.12.40
A10-JUR-OMR,10.10.10.12
A10-JUR-RQC,10.10.12.18
A10-ADM-RSL,10.10.11.6
A10-JUR-SGM,10.10.12.4
A10-JUR-TGA,10.10.12.41
A10-JUR-VCZ,10.10.12.6
A10-JUR-VFG ,10.10.12.25
A10-OIC-AEGL,10.10.21.16
A10-OIC-AEMN,10.10.22.55
A10-FEI-AERT,10.10.22.52
A10-ADM-ABP,10.10.101.4
A10-CIN-BBT,10.10.22.41
A10-ADM-DCR,10.10.101.11
A10-PLD-EMTS,10.10.22.23
A10-DCI-EPA,10.10.22.24
A10-CON-EAM,10.10.22.54
A10-SIS-JEGR,10.10.22.31
A10-PLD-ERDG,10.10.22.37
A10-CIN-EPC,10.10.22.39
A10-OIC-EBMR,10.10.22.26
A10-OIC-ELAM,10.10.22.21
A10-AUD-ECM,10.10.22.36
A10-ADM-FNCR,10.10.22.16
A10-AUD-GVA,10.10.22.1
A10-AUD-HAPC,10.10.21.17
A10-OIC-JVC,10.10.21.21
A10-DMV-JNHL,10.10.102.16
A10-DCI-JARM,10.10.22.4
A10-AUD-JGMR,10.10.22.13
A10-AUD-JMPG,10.10.22.11
A10-ADM-JLMM,10.10.22.14
A10-SIN-PGK,10.10.22.34
A10-CGC-LVVO,10.10.22.24
C10-SCI-SS02,10.10.153.37
A10-OIC-MLSM,10.10.22.22
A10-SIS-MAJM,10.10.22.35
A10-OIC-MSSM,10.10.22.29
A10-AUD-PCA,10.10.22.32
A10-AUD-SPVB,10.10.22.38
A10-OIC-SHR,10.10.21.2
A10-AUD-SOH,10.10.22.33
C10-AUD-SS04,10.10.152.180
C10-AUD-SS05,10.10.22.56
A10-DCI-VCCM,10.10.22.3
A10-PRN-ASM,10.10.32.55
A10-PRN-AVC,10.10.32.30
A10-CRE-ADGM,10.10.32.26
A10-PRN-ALFG,10.10.32.44
A10-PRN-FRAU,10.10.32.7
A10-PRN-AOM,10.10.32.61
A10-PRN-CACM,101.10.32.51
A10-DMV-CACM,10.10.32.29
A10-PRN-CAVL,10.10.32.31
A10-PRN-CNSP,10.10.32.71
A10-PRN-DSG,10.10.32.63
A10-PRN-DLJA,10.10.32.21
A10-PRN-ERG,10.10.32.73
A10-PRN-FSC,10.10.32.56
A10-PRN-IGS,10.10.32.10
A10-PRN-JBC,10.10.32.54
A10-PRN-JECG,10.10.32.28
A10-PRN-JMBM,10.10.32.14
A10-PRN-KFSG ,10.10.32.11
A10-PRN-LMAL,10.10.32.64
A10-PRN-MJMN,10.10.32.20
A10-PRN-MFH,10.10.32.41
A10-DIR-NEB,10.10.32.6
A10-PRN-NGCG,10.10.32.52
A10-CRE-ONV,10.10.32.40
A10-PRN-PRA,10.10.32.15
A10-PRN-SLOP,10.10.32.23
A10-DMV-SCS,10.10.32.9
A10-PRN-THV,10.10.32.70
A10-DMV-VRS,10.10.31.20
D10-PLA-AEGC,10.10.41.21
A10-PLA-AEGC,10.10.41.21
A10-FIN-AGPA,10.10.41.5
A10-CON-ALRG,10.10.42.8
A10-CON-AMC,10.10.42.26
A10-PLA-BEGM,10.10.42.48
C10-ADM-BAS,10.10.42.39
C10-KIO-INSL,10.10.41.40
KIO-TSN,10.10.42.1
A10-ADM-BAS,10.10.42.71
A10-FEI-CMA,10.10.41.2
A10-FIN-PFD,10.10.42.115
B10-PLA-ERTC,10.10.42.21
A10-FIN-EMLN,10.10.62.17
A10-CON-EVR,10.10.180.100
C10-REG-CONT,10.10.42.54
A10-CON-EPO,10.10.41.20
A10-FIN-EGLB,10.10.32.42
A10-FIN-EMCM,10.10.42.15
A10-CON-GECV,10.10.42.3
A10-CON-GHV,10.10.180.93
D10-KIO-IKOS,10.10.41.4
C10-FIN-PRES,10.10.42.4
A10-EST-GCTE,10.10.42.17
A10-FIN-GXR,10.10.42.58
A10-FIN-IRF,10.10.180.12
A10-FIN-ITB,10.10.42.27
A10-FIN-ICZ,10.10.42.2
A10-EST-ICB,10.10.42.49
A10-FIN-IEM,10.10.42.57
A10-CON-JMV,10.10.180.92
A10-FIN-LASS,10.10.42.41
A10-PLA-LEGV,10.10.42.40
A10-PLA-LFAM,10.10.42.32
